nd12k,36000,11733623120,154.6874528751,75.853748,27.797414,126.890039,92.470798
nd24k,72000,23757736500,319.6589813422,74.32213,58.135496,261.523485,90.843606
af_shell1,504855,1227215750,18.2435005016,67.268655,7.20117,11.04233,111.137387
af_shell2,504855,1227215750,19.1487349075,64.088607,7.603964,11.544771,106.300571
af_shell3,504855,1227215750,19.1650802226,64.033948,7.612603,11.552477,106.229662
af_shell4,504855,1227215750,18.9131553445,64.886886,7.50089,11.412265,107.534806
af_shell5,504855,1227215750,18.5131324382,66.288931,7.31989,11.193242,109.638987
af_shell6,504855,1227215750,19.0948129704,64.269587,7.551447,11.543366,106.313506
af_shell7,504855,1227215750,18.6139000332,65.930071,7.368646,11.245254,109.131882
af_shell8,504855,1227215750,18.2232602223,67.34337,7.171264,11.051997,111.040186
af_shell9,504855,1227215750,19.1063305305,64.230845,7.544626,11.561705,106.144877
c-62,41731,113274026,55.428982593,2.043588,3.942018,51.486965,2.200053
c-64,51035,2424353398,557.5198057195,4.348461,14.107176,543.412629,4.461349
c-66,49989,143404670,63.5522703131,2.256484,4.257403,59.294867,2.418501
c-67,57975,241787550,30.6545907195,7.887483,3.905938,26.748652,9.039242
ohne2,181343,1511195286,36.6936105609,41.184153,11.114511,25.579099,59.0793
para-10,155924,531073088,136.8684892499,3.880171,11.008394,125.860095,4.219551
para-4,153226,491473044,81.3334087186,6.042696,8.974737,72.358672,6.792179
para-5,155924,531073088,137.0385047165,3.875357,11.009144,126.029361,4.213884
para-6,155924,531073088,136.9563502187,3.877681,11.008801,125.947549,4.216621
para-7,155924,531073088,136.9865745946,3.876826,11.011699,125.974876,4.215706
para-8,155924,531073088,137.0440236526,3.875201,11.010121,126.033902,4.213732
para-9,155924,531073088,136.9307449379,3.878406,11.007553,125.923192,4.217437
Stanford_Berkeley,683446,444233682,1248.9473496535,0.355686,570.36457,678.582779,0.654649
gyro_k,17361,155795134,2.5916573126,60.114095,0.875067,1.71659,90.758494
t3dh_a,79171,511880718,9.4836854376,53.974873,3.377711,6.105975,83.832762
t3dh_e,79171,511880718,8.6548163745,59.14403,3.103076,5.55174,92.201855
