olafu,0.059242,0.029213,0.440192,0.009178,0.061405,0.0,1.422336,0.00487,2.0732190609,63.970871,0.646013,1.427206,92.926743
raefsky3,0.084189,0.029158,0.894547,0.009206,0.062448,0.0,1.400074,0.004768,2.5316989422,83.26207,1.126857,1.404842,150.048584
raefsky4,0.06864,0.032304,0.727315,0.034294,0.063648,0.0,1.912877,0.006019,2.8939936161,65.157242,0.975098,1.918896,98.267258
av41092,0.087181,0.034282,1.246736,0.03815,1.42608,0.0,6.460489,0.027866,9.3684062958,14.783182,2.880051,6.488355,21.345142
bcsstk39,0.095709,0.742682,0.426502,0.025981,0.06744,0.0,2.278061,0.00496,3.6881089211,51.232811,1.405088,2.283021,82.764107
pkustk01,0.059568,0.031242,0.352621,0.033578,0.067453,0.0,1.351296,0.006,1.9477154016,53.935303,0.590419,1.357296,77.39698
pkustk02,0.050579,0.029283,0.429216,0.008922,0.062362,0.0,1.136403,0.004816,1.7667167187,80.179535,0.625498,1.141219,124.125603
pkustk03,0.12625,0.941674,0.89063,0.026237,0.071376,0.0,3.519927,0.005037,5.627846241,58.120327,2.102883,3.524963,92.793091
pkustk04,0.170784,0.035248,7.283241,0.03848,3.870423,0.0,35.46637,0.1264,47.0383834839,42.675407,11.445614,35.59277,56.398594
pkustk05,0.094765,0.033008,1.151635,0.009562,0.080899,0.0,3.062877,0.00473,4.4844093323,68.404289,1.416803,3.067606,99.997459
pkustk06,0.101366,0.966038,1.341258,0.026102,0.073638,0.0,3.616896,0.004851,6.1766939163,58.259174,2.554946,3.621747,99.357864
pkustk07,0.086394,0.029389,2.735597,0.03408,0.084774,0.0,9.43312,0.005952,12.4576768875,65.826355,3.018605,9.439072,86.877556
pkustk08,0.10919,0.02911,2.793354,0.033632,0.082909,0.0,13.294534,0.00625,16.3954143524,67.444847,3.094631,13.300783,83.136925
pkustk09,0.075696,0.031552,0.445357,0.00865,0.062218,0.0,1.787721,0.004538,2.4624288082,65.742035,0.67017,1.792259,90.324608
pkustk10,0.157747,0.90833,1.254912,0.02608,0.072832,0.0,4.909792,0.004646,7.3809113503,63.306175,2.466473,4.914439,95.078461
pkustk11,1.232995,0.890042,2.871728,0.027408,0.089517,0.0,7.382998,0.02272,12.564368248,58.117153,5.158651,7.405717,98.600212
pkustk12,0.281197,0.345859,15.981342,0.040909,3.981642,0.0,106.318871,0.533747,127.532913208,42.035877,20.680296,106.852615,50.17152
pkustk13,1.236944,0.828202,6.175597,0.039402,0.105206,0.0,12.534449,0.499322,21.469039917,52.447372,8.435269,13.033771,86.390564
pkustk14,1.418259,0.614918,11.589584,0.039331,0.171958,0.0,39.659359,0.146874,53.6889038086,66.214272,13.882671,39.806232,89.306915
kim2,2.441584,0.739546,2.311207,0.029382,0.105786,0.0,5.931568,0.023971,11.6304759979,48.49316,5.674937,5.955539,94.701508
torso1,0.278416,0.790096,31.411772,0.042403,0.094413,0.0,121.723839,0.111331,154.5003204346,98.365463,32.66515,121.835167,124.738174
torso3,2.240563,0.193978,0.815981,0.026576,0.082458,0.0,3.94416,0.02273,7.3744254112,21.492933,3.407536,3.966889,39.955246
cage13,2.347014,0.83448,2.025354,0.275338,3.183142,0.0,8.246675,0.02361,16.9832801819,16.172636,8.712996,8.270285,33.210999
cage14,2.99577,1.280787,7.704919,1.066941,3.779258,0.0,32.508942,0.164566,49.5499649048,21.481579,16.876457,32.673508,32.577202
cage15,5.526077,2.041501,30.046652,0.309286,147.074051,0.0,124.003159,1.137232,310.204498291,13.401686,185.064102,125.140388,33.220795
sinc18,0.062538,0.031571,0.519363,0.036909,2.460803,0.0,3.254467,0.009405,6.4242086411,19.96166,3.160336,3.263872,39.2901
ns3Da,0.111696,0.033933,2.751629,0.035718,0.084234,0.0,6.201021,0.033139,9.2980480194,38.186665,3.063888,6.23416,56.954174
poisson3Db,0.152288,0.888826,1.039603,0.035219,1.411296,0.0,3.462733,0.037706,7.0769371986,23.854176,3.576499,3.500439,48.226669
sme3Da,0.068262,0.031235,0.936368,0.034867,0.063603,0.0,2.621616,0.006099,3.8080062866,40.163055,1.180291,2.627715,58.203094
sme3Db,0.137168,0.03239,3.690013,0.036902,0.095667,0.0,6.319267,0.037706,10.396569252,36.344913,4.039597,6.356973,59.44062
sme3Dc,0.200512,0.832227,5.325471,0.03487,0.081475,0.0,9.62697,0.085632,16.2339553833,35.684856,6.521353,9.712603,59.644817
nd3k,0.088032,0.027437,3.439495,0.033104,0.090896,0.0,28.045599,0.009629,31.780954361,80.297867,3.725727,28.055227,90.961403
nd6k,0.148125,0.026762,12.186361,0.033325,0.120141,0.0,66.453781,0.009914,79.0263214111,70.510056,12.562627,66.463692,83.837509
nd12k,0.280413,0.028314,20.139866,0.034621,0.184378,0.0,153.170776,0.03296,173.9193267822,67.465897,20.71559,153.203735,76.588364
nd24k,0.549968,0.028438,40.807079,0.034416,0.28905,0.0,366.274261,0.035763,408.0664672852,58.220261,41.756443,366.310028,64.856911
af_shell1,2.670227,0.498499,4.48104,0.029843,0.113581,0.0,14.219174,0.024394,22.0844135284,55.569313,7.840846,14.243568,86.159286
af_shell2,2.672112,0.496576,4.499533,0.029862,0.110518,0.0,14.225416,0.023795,22.1073246002,55.511723,7.858113,14.249211,86.125168
af_shell3,2.668416,0.500205,4.479885,0.030096,0.112634,0.0,14.206812,0.024259,22.0714187622,55.602032,7.840348,14.231071,86.234947
af_shell4,2.667936,0.500707,4.479158,0.029501,0.112227,0.0,14.214905,0.024771,22.0767326355,55.588646,7.837057,14.239676,86.182838
af_shell5,2.666518,0.502102,4.478422,0.029693,0.111699,0.0,14.238873,0.024355,22.0987644196,55.533226,7.835536,14.263227,86.040535
af_shell6,2.66631,0.502931,4.478726,0.030803,0.114381,0.0,14.236154,0.025536,22.1032447815,55.521969,7.841555,14.261689,86.049812
af_shell7,2.667703,0.500909,4.477062,0.029949,0.118291,0.0,14.236176,0.024122,22.1022567749,55.524452,7.841959,14.260298,86.058212
af_shell8,2.669651,0.498714,4.481436,0.0292,0.11152,0.0,14.256264,0.024355,22.118024826,55.484867,7.837406,14.280619,85.935753
af_shell9,2.666535,0.501696,4.475517,0.029181,0.110234,0.0,14.260406,0.02512,22.1172142029,55.4869,7.831688,14.285526,85.906227
c-62,0.077632,0.034256,2.182454,0.03784,2.889216,0.0,6.187049,0.02879,11.4846277237,9.863099,5.268788,6.21584,18.223446
c-64,0.419542,0.035731,6.108531,0.03919,3.754153,0.0,28.209774,0.124682,38.7399520874,62.580181,10.405497,28.334455,85.562019
c-66,0.07616,0.93433,1.56823,0.038064,2.60401,0.0,7.360464,0.104912,12.7341594696,11.261416,5.268784,7.465375,19.209305
c-67,0.137469,0.034352,1.288237,0.038,2.670912,0.0,8.598391,0.052765,12.8676280975,18.790375,4.216473,8.651155,27.948586
c-73,1.964509,0.160717,15.311444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ohne2,2.576458,0.600294,9.35879,0.04663,0.131853,0.0,26.902252,0.230314,39.8941650391,37.880108,12.7616,27.132566,55.696732
