pf2177,9728,725144,64518890,25.656,5.029536
fp,7548,848553,266658441,60.781,8.774401
laminar_duct3D,67173,3833077,286051210,38.137,15.001243
thermal2,1228045,8580313,60758901,16.125,7.535988
bloweybl,30003,120000,100469968,27.065,7.424346
bloweybq,10001,69991,100379895,40.8,4.920583
filter3D,106437,2707179,85957185,28.792,5.970908
gyro,17361,1021159,77897567,21.771,7.156085
t3dh,79171,4352105,255940359,23.372,21.901451
windscreen,22692,1482390,101783682,22.922,8.880873
boneS01,127224,6715152,394029846,45.841,17.191154
Reuters911,13332,296076,65960716,29.556,4.46344
c-43,11125,123675,60015151,28.746,4.175548
c-45,13206,174452,97950686,36.429,5.377621
c-53,30235,372213,191127691,56.29,6.790822
c-big,345241,2341011,474414355,126.482,7.50169
c-66b,49989,499007,71702335,14.175,10.116732
c-67b,57975,531935,120893775,24.62,9.820778
conf5_4-8x8-05,49152,1916928,74760192,24.567,6.086229
conf5_4-8x8-10,49152,1916928,74760192,24.606,6.076582
conf5_4-8x8-15,49152,1916928,74760192,24.516,6.09889
conf5_4-8x8-20,49152,1916928,74760192,24.609,6.075842
conf6_0-8x8-20,49152,1916928,74760192,24.57,6.085486
conf6_0-8x8-30,49152,1916928,74760192,24.529,6.095658
conf6_0-8x8-80,49152,1916928,74760192,24.486,6.106362
invextr1_new,30412,1793881,153405595,29.642,10.350556
mixtank_new,29957,1995041,176887371,32.298,10.953457
pf2177,9728,725144,64518890,25.645,5.031694
Dubcova3,146689,3636649,105370225,33.258,6.336534
FEM_3D_thermal2,147900,3489300,85290300,29.805,5.723221
F2,71505,5294285,492807103,55.656,17.709038
kkt_power,2063494,14612663,216487855,50.694,8.540966
fem_filter,74062,1731206,366086732,63.999,11.440389
water_tank,60740,2035281,75789124,23.727,6.388429
largebasis,440020,5560100,70840580,25.965,5.456621
case9,14454,147972,161640248,51.552,6.270959
mono_500Hz,169410,5036288,204030968,47.622,8.568769
TSOPF_RS_b2383,38120,16171169,127949437,44.668,5.728908
TSOPF_FS_b9_c6,14454,147972,161640248,51.589,6.266462
TSOPF_RS_b2052_c1,25626,6761100,53335853,27.622,3.861839
TSOPF_RS_b2383_c1,38120,16171169,127949437,44.748,5.718666
TSOPF_RS_b678_c2,35696,8781949,69226453,30.863,4.486048
atmosmodd,1270432,8814880,61238128,18.875,6.488808
atmosmodj,1270432,8814880,61238128,18.834,6.502934
atmosmodl,1489752,10319760,71590768,26.173,5.470582
atmosmodm,1489752,10319760,71590768,25.798,5.550102
offshore,259789,4242673,71342515,28.332,5.036179
soc-Slashdot0811,77360,905468,111839175,40.71,5.494433
soc-Slashdot0902,82168,948464,117126458,41.846,5.597976
email-Enron,36692,367662,51501448,26.633,3.867491
web-BerkStan,685230,7600595,222498869,43.045,10.337966
web-Google,916428,5105039,60687836,25.59,4.74309
consph,83334,6010480,463845030,47.131,19.683225
cant,62451,4007383,269486473,33.368,16.15239
webbase-1M,1000005,3105536,69524195,31.214,4.45468
delaunay_n21,2097152,12582816,79241506,30.183,5.250738
delaunay_n22,4194304,25165738,158484602,46.342,6.839783
delaunay_n23,8388608,50331568,316961668,78.322,8.093809
hugetric-00010,6592765,19771708,59301950,19.866,5.970195
hugetric-00020,7122792,21361554,64071018,24.552,5.21921
rgg_n_2_19_s0,524288,6539532,88151660,27.702,6.364281
rgg_n_2_20_s0,1048576,13783240,194980566,32.339,12.05854
rgg_n_2_21_s0,2097152,28975990,429575072,84.729,10.139977
auto,448695,6629222,101247158,17.143,11.81207
m14b,214765,3358036,54611410,10.895,10.025041
HTC_336_4438,226340,904522,270612786,72.483,7.466931
HTC_336_9129,226340,883422,233545684,64.935,7.193214
TSC_OPF_300,9774,820804,433116394,98.963,8.753098
StocF-1465,1465137,21005389,310855795,62.749,9.907912
Chevron4,711450,6376412,57281204,23.882,4.797019
CurlCurl_2,806529,8921789,99377487,30.121,6.598552
CurlCurl_3,1219574,13544618,151383222,39.627,7.640408
CurlCurl_4,2380515,26515867,297096317,60.953,9.748374
AS365,3799275,22736152,138906828,34.661,8.015166
NLR,4163763,24975952,152767440,41.349,7.389172
vsp_bcsstk30_500sep_10in_1Kout,58348,4033156,339135198,44.941,15.092463
vsp_befref_fxm_2_4_air02,14109,196448,79224142,33.553,4.722328
vsp_msc10848_300sep_100in_1Kout,21996,2442056,324579262,48.152,13.481445
hangGlider_3,10260,92703,83899119,36.768,4.563703
hangGlider_4,15561,149532,192595672,63.918,6.026336
hangGlider_5,16011,155246,203882914,66.848,6.099896
lowThrust_4,13562,160947,57513653,28.599,4.022074
lowThrust_5,16262,198369,82386863,34.065,4.837039
lowThrust_6,16928,207349,89193745,35.535,5.02005
lowThrust_7,17378,211561,93895061,36.665,5.121782
lowThrust_8,17702,216445,97405815,37.423,5.205666
lowThrust_9,18044,219589,101126303,23.519,8.599541
lowThrust_10,18260,222005,103523797,38.914,5.320645
lowThrust_11,18368,223801,104749361,39.309,5.329536
lowThrust_12,18458,224593,105756931,39.502,5.35451
lowThrust_13,18476,224897,105963043,39.572,5.355456
iChem_Jacobian,274087,4137369,63782589,25.37,5.02819
cant,62451,4007383,269486473,33.583,16.048982
offshore,259789,4242673,71342515,28.015,5.093165
rma10,46835,2374001,156480259,12.91,24.241713
shipsec1,140874,7813404,450639288,47.999,18.777028
consph,83334,6010480,463845030,45.17,20.537748
conf5_4-8x8-05,49152,1916928,74760192,23.417,6.385121
filter3D,106437,2707179,85957185,27.56,6.237822
webbase-1M,1000005,3105536,69524195,31.437,4.423081
cant,62451,4007383,269486473,33.761,15.964366
offshore,259789,4242673,71342515,28.57,4.994226
rma10,46835,2374001,156480259,12.707,24.628985
shipsec1,140874,7813404,450639288,48.475,18.592647
consph,83334,6010480,463845030,45.556,20.363729
conf5_4-8x8-05,49152,1916928,74760192,23.778,6.288182
filter3D,106437,2707179,85957185,27.829,6.177526
webbase-1M,1000005,3105536,69524195,31.316,4.440171
